year,mooc,quartile
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,1
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,2
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,3
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
08,0,4
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,1
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,2
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,3
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
09,0,4
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,1
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,2
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,3
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
10,0,4
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,1
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,2
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,3
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
11,0,4
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,1
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,2
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,29,3
12,23,3
12,0,3
12,0,4
12,0,4
12,0,4
12,0,4
12,18,4
12,26,4
12,19,4
12,52,4
12,22,4
12,33,4
12,34,4
12,18,4
12,26,4
12,34,1
13,29,1
13,22,1
13,40,1
13,33,1
13,26,1
13,48,1
13,49,1
13,46,1
13,35,1
13,46,1
13,45,1
13,36,1
13,42,2
13,59,2
13,37,2
13,50,2
13,42,2
13,50,2
13,46,2
13,54,2
13,55,2
13,52,2
13,53,2
13,48,2
13,42,2
13,41,3
13,39,3
13,48,3
13,55,3
13,62,3
13,47,3
13,29,3
13,59,3
13,55,3
13,54,3
13,44,3
13,83,3
13,49,3
13,95,4
13,78,4
13,66,4
13,55,4
13,100,4
13,69,4
13,57,4
13,73,4
13,57,4
13,50,4
13,73,4
13,33,4
13,37,4
13,38,1
14,56,1
14,87,1
14,69,1
14,54,1
14,48,1
14,44,1
14,75,1
14,65,1
14,44,1
14,42,1
14,41,1
14,44,1
14,38,2
14,32,2
14,48,2
14,49,2
14,41,2
14,36,2
14,49,2
14,53,2
14,29,2
14,32,2
14,45,2
14,41,2
14,25,2
14,38,2
